,Titre,Description,Détail des conditions,Résumé horaires,Adresse
11015,La course des tortues,"A l'aide de petits matériels, les participants sont invités à créer des machines répondant à un défi insolite!",Sur inscription,"Samedi 16 mars, 14h30, 16h00","90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
11016,Les P'tites Histoires en folie,Histoires à savourer pour les petites oreilles !,"Renseignements à l'accueil jeunesse ou par téléphone au 01 41 23 80 65.
Entrée libre dans la limite des places disponibles.","Samedi 16 mars, 16h00","33, rue du gouverneur général Eboué, Issy-les-Moulineaux"
11017,23 & 24 mars - Vide dressing solidaire,"Les samedi 23 et dimanche 24 mars, l'association Croix Bleue des Arméniens de France vous invite à un vide dressing solidaire.",,23 et 24 mars,31 avenue Bourgain 92130 Issy-les-Moulineaux
11018,Stage culturel : Cirque,La Maison des Hauts d'Issy organise un stage dédié à la pratique du cirque pour les 8/15 ans,"Résider à Issy-les-Moulineaux, être adhérent à l'association CLAVIM. Ouverture des inscriptions et paiement en ligne sur TÉLISS à partir du mardi 19 mars",10 - 12 avril,16 rue de l'Abbé Derry 92130 Issy-les-Moulineaux
11019,LE JEU DE LA REINE,Avant-Première,,"Dimanche 24 mars, 18h00","8 Prom. Coeur de Ville, 92130 Issy-les-Moulineaux"
11020,"Atelier vélo : diagnostic et petite réparation, marquage et sensibilisation","Venez faire diagnostiquer votre vélo, réaliser un marquage Bicycode ou encore vous sensibiliser aux bons gestes à adopter à vélo.","Atelier gratuit, seul le marquage (Bicycode) est payant et s'élève à 10 €.","Samedi 27 avril, 10h00",48 rue d'erevan issy
11021,Sensibilisation à la langue des signes,"Comptines, histoires en langue des signes pour les 2-5 ans.",Entrée libre dans la limite des places disponibles.,"Samedi 2 mars, 11h00","33, rue du gouverneur général Eboué, Issy-les-Moulineaux"
11022,Marmottines,Les P'tits rendez-vous,"Entrée dans la limite des places disponibles.
Ticket à retirer avant la séance choisie à l'accueil jeunesse.","Mercredi 13 mars, 11h00","33, rue du gouverneur général Eboué, Issy-les-Moulineaux"
11023,Découverte des arts arborigènes,Atelier créatif dès 8 ans.,"Inscription en ligne via Affluences, à l'accueil jeunesse ou par téléphone au 01 41 23 80 65.","Mercredi 22 novembre, 16h00","33, rue du gouverneur général Eboué, Issy-les-Moulineaux"
11024,SCÈNE OUVERTE AU NIDA,"La scène ouverte du Réacteur incarne les principes de découverte, de jeu et de partage. Elle est accueillie au NIDA",,"Mardi 3 octobre, 18h30","11, Promenade coeur de ville, Issy-les-Moulineaux"
11025,Ciné des enfants ♥ Wolfy et les loups en délire !,"Projection gratuite en famille dès 3 ans, dans le cadre de la 22e Fête du cinéma d'animation",Entrée gratuite sur réservation en ligne indispensable,"Vendredi 27 octobre, 10h30","45-47 rue de l'égalité, 92130 Issy-les-Moulineaux"
11026,DAAAAAALI ! VF et VFSTF,Nouveau,,7 - 13 février,"8 Prom. Coeur de Ville, 92130 Issy-les-Moulineaux"
11027,Poulette et petit coq,Spectacle. Dès 2 ans.,"Inscription en ligne via Affluences, à l'accueil jeunesse ou par téléphone au 01 41 23 81 62.","Samedi 9 mars, 11h00","2 rue du Clos-Munier, 92130 Issy-les-Moulineaux"
11028,Books & Breakfast,Un rendez-vous convivial qui s’adresse au public des grands adolescents et des adultes.,"Inscription en ligne via Affluences, ou par téléphone au 01 41 23 81 62.","Dimanche 10 mars, 11h00","2 rue du Clos-Munier, 92130 Issy-les-Moulineaux"
11029,OLD BOY,Séance Culte,,"Jeudi 29 février, 20h00","8 Prom. Coeur de Ville, 92130 Issy-les-Moulineaux"
11030,Spectacle : Rovers,"Mime, en famille, dès 5 ans",Sur inscription,"Samedi 18 novembre, 16h00",31 rue du Docteur Lombard 92130 Issy-les-Moulineaux
11031,Ma P'tite Chanson,Des concerts pour profiter des beautés des traditions musicales du monde.,Entrée libre dans la limite des places disponibles.,"Vendredi 15 mars, 18h30","33, rue du gouverneur général Eboué, Issy-les-Moulineaux"
11032,"Spectacle ""Nuit"" - Compagnie d'Objet Direct","Dans le cadre de MARTO, Marionnette et Théâtre d'Objets, un spectacle pop-up sur la nuit et ses songes, pour petits rêveurs.","Entrée libre, sur réservation. Enfant accompagné.","Dimanche 17 mars, 10h30, 15h30","90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
11033,Rencontre avec Marie Darrieussecq,Rencontre suivie d'une dédicace.,Entrée libre dans la limite des places disponibles.,"Samedi 9 mars, 17h00","2 rue du Clos-Munier, 92130 Issy-les-Moulineaux"
11034,Journée portes ouvertes,Accueil candidats et parents pour parler de notre méthode,,"Mercredi 20 mars, 09h00","8, avenue de la République, 92130 Issy-les-Moulineaux"
11035,Concert Jazz et Orgue de Louis Armstrong à nos jours,"Le jeudi 18 janvier prochain, le Rotary Club d'Issy vous propose d'assister à un concert de jazz exceptionnel organisé au profit d'étudiants boursiers du lycée Ionesco.",29€ la place ou le pack de 2 places pour 50€,"Jeudi 18 janvier 2024, 20h30",11/13 rue Danton 92130 Issy les Moulineaux
11036,"Stage Nature & Montessori, Issy-les-Moulineaux (92) - du 8 au 12/4/24","Des Vacances de (re)liance à LA Nature et à SA Nature🍃, pour transmettre la magie du Vivant à chaque saison, dans l’Écoute de soi-même, des autres et de la Nature.","Tarifs : Tarif normal 350€ ; Pour élèves de l'école Montessori ""Smiles'n Kids"" 300€","23 octobre 2023 - 8 avril 2024, les lundis","92130 Issy-les-Moulineaux, France"
11037,Une vie,"MERCREDI 27  : 20h30 VO 
SAMEDI 30      : 18h00 VO 
DIMANCHE 31 : 14h00 VF",,27 - 31 mars,"11-13, rue Danton 92130 Issy-les-Moulineaux"
11038,Atelier : Chant prénatal,Un atelier pour apporter un mieux-être pendant la grossesse animé par Judith Bloch-Christophe sur inscription.,"Atelier gratuit, renseignements par téléphone, inscription par email, 10 participants par séance.","Vendredi 3 mai, 19h00","60 rue du Général Leclerc, 92130"
11039,Groupe de conversation en anglais,Venez discuter avec d'autres personnes en anglais autour d'un café/thé.,Atelier gratuit sur inscription et adhésion nécessaire pour participer à cet atelier.,"Jeudi 4 avril, 10h30",54 rue d'Erevan 92130 Issy-les-Moulineaux
11040,Groupe de conversation en anglais,Venez discuter avec d'autres personnes en anglais autour d'un café/thé.,Atelier gratuit sur inscription et adhésion nécessaire pour participer à cet atelier.,"Jeudi 18 avril, 10h30",54 rue d'Erevan 92130 Issy-les-Moulineaux
11041,Soirée jeux de société Adultes,Une soirée jeux réservée pour les adultes : gare aux dragons de bois !,Gratuit pour les adhérents - 2.20 € pour les non-adhérents,19 et 20 janvier,"15 allée Sainte-Lucie, 92130 Issy-les-Moulineaux"
11042,ASTERIX ET OBELIX L'EMPIRE DU MILIEU,Les incontournables,,17 - 21 janvier,"8 Prom. Coeur de Ville, 92130 Issy-les-Moulineaux"
11043,Atelier d'écriture expoésie,Cet atelier est ouvert à tous à partir de 18 ans.,Gratuit sur inscription,"Lundi 10 juin, 15h00","60 rue du Général Leclerc, Issy-les-Moulineaux"
11044,"Spectacle :  Souvenirs, Souvenirs",Un spectacle musical et intergénérationnel,Sur réservation,"Dimanche 10 mars, 11h00",14 rue du chevalier de la barre 92130
11045,Cérémonie en hommage à Missak Manouchian et à sa femme Mélinée.,"La ville d'Issy-les-Moulineaux vous invite, à l'occasion de l'entrée au Panthéon de Missak Manouchian et des 80 ans de son exécution, à lui rendre un hommage solennel, le dimanche 25 février.",Participation libre et gratuite,"Dimanche 25 février, 10h45","62 rue du général Leclerc, Issy"
11046,Le Réacteur présente The New BLood Tour avec HEART ATTACK ● SUASION ● RAGE BEHIND,"Le Réacteur présente une soirée Thrash Groove Core Métal centrée sur les poulains du label Atomic Fire Records, samedi 14 octobre à l'Epace Icare !",10/12€ en prévente - 13/15€ sur place,"Samedi 14 octobre, 19h00","31 Boulevard Gambetta, 92130 Issy-les-Moulineaux"
11047,Anatomie d'une chute,"VENDREDI 29   : 20h30  
SAMEDI 30       : 18h00   
DIMANCHE 01  : 16H30  
LUNDI 02          : 20h30",,29 septembre - 2 octobre,"11-13, rue Danton 92130 Issy-les-Moulineaux"
11048,Des Hommes,Découvrez le dernier film de Lucas Belvaux,,2 - 7 juin 2021,"11-13, rue Danton 92130 Issy-les-Moulineaux"
11049,Festival Issy T'Anime : Wallace et Gromit - Le Mystère du lapin-garou,Mercredi 6 décembre à 14h30 - à partir de 6 ans,,"Mercredi 6 décembre, 14h30","11-13, rue Danton 92130 Issy-les-Moulineaux"
11050,Le festival Issy t’anime vous donne rendez-vous au ciné d’Issy et à la médiathèque,"Cette année, ce sont les studios Aardman, les créateurs des fameux Chicken run et Wallace et Gromit, qui sont mis à l'honneur !",,3 - 13 décembre,"11-13, rue Danton 92130 Issy-les-Moulineaux"
11051,LE ROYAUME DE KENSUKE,Avant-première,,"Dimanche 4 février, 16h00","8 Prom. Coeur de Ville, 92130 Issy-les-Moulineaux"
11052,Ciné-minots,Découverte de courts-métrages d'animation,Sur inscription,"Mercredi 22 mars 2017, 17h30","2 rue du Clos-Munier, 92130 Issy-les-Moulineaux"
11053,Ana Popovic - The Wealthy Hobos,En concert avec le Réacteur !,15€ en prévente / 17€ sur place,"Dimanche 25 juin 2017, 19h00","31 boulevard Gambetta, 92130 Issy-les-Moulineaux"
11054,Réunion d'info sur formation Agent de Prévention et de Sécurité AFC TFP APS CEMA Issy les Mlx,Réunion d'information sur la formation TFP Agent de Prévention et de Sécurité permettant d'obtenir la carte pro agent de sécurité pour travailler sur ce métier.,,"Lundi 25 mars, 09h00",92130 Issy-les-Moulineaux
11055,Atelier : Chant prénatal,Un atelier pour apporter un mieux-être pendant la grossesse animé par Judith Bloch-Christophe sur inscription.,"Atelier gratuit, renseignements par téléphone, inscription par email, 10 participants par séance.","Vendredi 26 avril, 19h00","60 rue du Général Leclerc, 92130"
11056,Le petit chat qui voulait voyager,spectacle jeune public,"Entrée sur réservation, gratuit.","Samedi 20 janvier, 14h30, 15h30","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
11057,Atelier d'écriture expoésie,atelier poétique,"Entrée sur réservation, gratuit","Lundi 11 mars, 15h00","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
11058,Anatomie d'une chute,Les incontournables,,13 et 15 janvier,"8 Prom. Coeur de Ville, 92130 Issy-les-Moulineaux"
11059,LES ELI GAMES,Un après-midi et une soirée dédiés aux jeux de société modernes. Un moment convivial à partager en famille ou entre amis.,Gratuit pour tous,3 et 4 février 2024,"18 rue de l'abbé Derry, 92130 Issy-les-Moulineaux"
11060,Les P'tites Histoires,P'tits Rendez-Vous,"Inscription en ligne via Affluences, à l'accueil jeunesse ou par téléphone au 01 41 23 81 62.","Mercredi 17 avril, 10h30","2 rue du Clos-Munier, 92130 Issy-les-Moulineaux"
11061,Ateliers (hyper) créatifs,Dès 7 ans.,Entrée libre dans la limite des places disponibles.,"Samedi 16 mars, 16h00","33, rue du gouverneur général Eboué, Issy-les-Moulineaux"
11062,Atelier d'écriture,La médiathèque centre-ville propose durant les vacances d'hiver des séances d'initiation aux ateliers d'écriture. Dès 9 ans.,"Inscription en ligne via Affluences, à l'accueil jeunesse ou par téléphone au 01 41 23 80 69.",13 - 16 février,"33, rue du gouverneur général Eboué, Issy-les-Moulineaux"
11063,Conférence déssinée : Petits et gros bobos : une histoire de l'archéo,Conférence dessinée sur le thème de l'archéologie de la santé dans le cadre des Journées européennes de l'archéologie,Sur inscription,"Dimanche 16 juin, 16h00","90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
11064,Chanter avec son enfant de 3 à 6 ans,"Un atelier ludique ouvert aux parents, père et mère, accompagnés de leur enfant âgé de 3 à 6 ans, animé par Marie-Anne Sévin, sur inscription.","Atelier gratuit, renseignements par téléphone, inscription par email, 5 participants par séance.","Samedi 4 mai, 10h30","60 rue du Général Leclerc, 92130"
11065,ALICE ANIMAL ●  SUN ● LOX // Le Réacteur,"Le Réacteur présente ALICE ANIMAL, SUN et LOX samedi 27 avril 2024 à l'Espace Icare !",10/12€ en prévente - 13/15€ sur place,"Samedi 27 avril, 19h00",31 Bd Gambetta 92130 Issy les Moulineaux
11066,🍄 Les champignons : un univers fascinant !,Cycle de conférences avec Jean-Christophe GUEGUEN,"sur inscription, 5€","Jeudi 16 novembre, 14h15","31 Boulevard Gambetta, 92130 Issy-les-Moulineaux"
11067,Journée nationale du Souvenir des Victimes et Héros de la Déportation,La Ville d'Issy-les-Moulineaux vous invite à participer aux commémorations en hommage à l’ensemble des victimes et des héros de la Déportation de la Seconde Guerre mondiale.,Participation libre et gratuite,"Dimanche 28 avril, 09h30","62 rue du général Leclerc, Issy"
11068,Récital : Le plus haut,Avec André Velter (voix) et Gaspar Claus (violoncelle).,Entrée libre sur réservation,"Samedi 16 septembre, 18h00",60 rue du Général leclerc 92130 Issy-les-moulineaux
11069,"Le sportif cyborg, transformation ou amélioration ?","Par Bernard Andrieu, philosophe.",Entrée libre dans la limite des places disponibles.,"Mardi 23 avril, 19h00","33, rue du gouverneur général Eboué, Issy-les-Moulineaux"
11070,Les P'tites Histoires,P'tits Rendez-Vous,"Inscription en ligne via Affluences, à l'accueil jeunesse ou par téléphone au 01 41 23 81 62.","Mercredi 10 avril, 10h30","2 rue du Clos-Munier, 92130 Issy-les-Moulineaux"
11071,"En février, ne manquez pas les nouvelles aventures de Polichinelle !","Tout au long de l'année, venez découvrir les péripéties pleines de rebondissements de Polichinelle et ses compagnons au parc Henri Barbusse. Retrouvez dans cet article la programmation de février.",,10 février - 2 mars,"Parc Henri Barbusse, Issy-les-Moulineaux"
11072,Culture 90,Exposition.,Entrée libre.,19 mars - 26 mai,"2 rue du Clos-Munier, 92130 Issy-les-Moulineaux"
11073,Fermeture technique de la piscine Aquazena,Arrêt technique annuel obligatoire du 8 au 21 avril 2024,,8 - 21 avril,140-144 promenade du Verger 92130
11074,Soirée jeux de société Adultes,Une soirée jeux réservée pour les adultes,Gratuit pour les adhérents - 2.20 € pour les non-adhérents,15 et 16 mars,"15 allée Sainte-Lucie, 92130 Issy-les-Moulineaux"
11075,UNE AFFAIRE D'HONNEUR,Séance,,3 - 9 janvier,"8 Prom. Coeur de Ville, 92130 Issy-les-Moulineaux"
11076,Concert du Nouvel An,"Pour commencer l'année en musique, profitez du concert proposé par le musée !",entrée libre,"Lundi 1 janvier 2024, 16h00","16 rue Auguste Gervais, 92130 Issy-les-Moulineaux"
11077,Marmottines,Les P'tits rendez-vous,"Entrée dans la limite des places disponibles.
Ticket à retirer avant la séance choisie à l'accueil jeunesse.","Mercredi 28 février, 10h30","33, rue du gouverneur général Eboué, Issy-les-Moulineaux"
11078,"Brunch ""Saveurs du Monde"" de l'association des Racines et des Elles",L'association des Racines et des Elles vous invite à échanger sur les défis de parents d'adolescents le samedi 2 mars de 12h à 20h.,Entrée libre,"Samedi 2 mars, 12h00","2 rue Jacques Henri Lartigue, 92130 Issy-les-Moulineaux"
11079,Webinaire de présentation par Slashéo : Les bonnes questions à se poser pour devenir Consultant indépendant dans l'IT ou le Conseil,Webinaire : Les bonnes questions à se poser pour devenir Consultant indépendant dans l'IT et le conseil.,,"Mercredi 27 mars, 14h30",92130 Issy-les-Moulineaux
11080,Atelier : Chant prénatal,Un atelier pour apporter un mieux-être pendant la grossesse animé par Judith Bloch-Christophe sur inscription.,"Atelier gratuit, renseignements par téléphone, inscription par email, 10 participants par séance.","Vendredi 22 mars, 19h00","60 rue du Général Leclerc, 92130"
11081,Danse parents-bébé,"Un atelier ludique ouvert aux parents, père et mère, accompagnés de leur enfant âgé de 1 an à 2 ans et demi, animé par Pamela Cecilia Paniagua Sanchez, sur inscription.","Atelier gratuit, renseignements par téléphone, inscription par email, 4 duos parent-bébé par séance.","Samedi 27 avril, 09h30","60 rue du Général Leclerc, 92130"
11082,"ANNULÉ | Andrée Chedid, en milliers de battements",Soirée du Centenaire,"Entrée libre, sur réservation, tél 01 41 23 82 82","Vendredi 20 mars 2020, 19h30","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
11083,Soirée St Patrick,"Organisez vos trèfles et lustrez vos souliers verts, car le Nida Issy s'habille aux couleurs de l’Irlande pour une soirée Patrick de dingue",Sur inscription,"Vendredi 15 mars, 18h30","11, Promenade coeur de ville, Issy-les-Moulineaux"
11084,Soirée bar à jeux,"Venez partager un moment inoubliable lors de notre soirée bar à jeux au Nida, le vendredi 8 mars, de 18h30 à 23h !","Entrée gratuite, sur inscription","Vendredi 8 mars, 18h30","11, Promenade coeur de ville, Issy-les-Moulineaux"
11085,"Indie Game Nation : le salon 100% indé, par des indés, pour les indés!",Tous unis sous la même bannière,entrée libre,9 et 10 mars,"16 rue Auguste Gervais, 92130 Issy-les-Moulineaux"
11086,"Le rap, des racines américaines à un genre national","Café musical, pour découvrir et échanger à travers un thème musical.",Entrée dans la limite des places disponibles.,"Samedi 30 mars, 16h00","33, rue du gouverneur général Eboué, Issy-les-Moulineaux"
11087,AWEK,Concert,"12€ en prévente fnac, 14€ sur place","Samedi 30 juin 2018, 19h00","31 boulevard gambetta, 92130 Issy-les-Moulineaux"
11088,Visites-Ateliers Réalités Mixtes,Vous avez toujours voulu marcher sur l’eau ? Pouvoir atteindre le sommet de l’Everest ? Ou encore faire la taille de Godzilla dans Paris ? Tout ça est possible grâce à la réalité mixte au Cube !,Gratuit sous réservation,10 et 17 septembre 2022,"20 cours Saint-Vincent, 92130 Issy-les-Moulineaux"
11089,Bière de Printemps,Dégustation gratuite dès 18h30 suivi d'un repas de quartier au Café Français,,"Vendredi 22 mars, 18h30","2 place Paul Vaillant Couturier, 92130 Issy-les-Moulineaux"
11090,Atelier numérique,Atelier numérique pour les 3-5 ans.,"Inscription en ligne via Affluences, à l'accueil jeunesse ou par téléphone au 01 41 23 80 65.","Mercredi 6 mars, 16h00","33, rue du gouverneur général Eboué, Issy-les-Moulineaux"
11091,Goodbye Julia,mercredi 28 février à 18h30,,"Mercredi 28 février, 18h30","11-13, rue Danton 92130 Issy-les-Moulineaux"
11092,"Ciné d'Issy : Séance spéciale Mardi gras :  Léo, la fabuleuse histoire de Léonard de Vinci","Mercredi 14 février, profitez d'une dégustation de crêpes à la sortie du film !","tarif unique : 4,20€","Mercredi 14 février, 14h30","11-13, rue Danton 92130 Issy-les-Moulineaux"
11093,Le Blues de la grenouille,Spectacle dès 5 ans.,Entrée libre dans la limite des places disponibles et sur présentation d'un ticket.Les tickets sont à retirer à l'accueil jeunesse 30 minutes avant le spectacle.,"Samedi 2 décembre, 16h00","33, rue du gouverneur général Eboué, Issy-les-Moulineaux"
11094,"Stage numérique : ""Openlab"" Gravures & Estampes 11-15 ans",Venez découvrir les machines du Minilab en réalisant des gravures et estampes.,"Résider à Issy-les-Moulineaux, être adhérent à l'association CLAVIM. Ouverture des inscriptions et paiement en ligne sur TÉLISS à partir du mardi 19 mars",8 - 12 avril,"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
11095,Stages intensifs de natation,"Et oui Les vacances approchent ! 
Si vous souhaitez que vos enfants ou petits-enfants apprennent ou se perfectionnent à la natation n’hésitez plus. pour les 6 à 10ans","sur inscription, 89 € pour les Résidents, 100€ pour les personnes Extérieures",8 - 19 avril,70 bd gallieni 92130
11096,Création textile,Créer des motifs et imprimés pour personnaliser vos vêtements selon une thématique,"Atelier sur place, gratuit, sur inscription en ligne","Dimanche 11 juin 2023, 14h30","90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
11097,Les P'tites Histoires,P'tits Rendez-Vous,Entrée libre dans la limite des places disponibles. Renseignements à l'accueil jeunesse ou par téléphone au 01 41 23 80 65.,"Samedi 23 mars, 11h00","33, rue du gouverneur général Eboué, Issy-les-Moulineaux"
11098,Carte blanche ★ Nuit de la BD,"Une expérience d’immersion cinématographique pour les 11/17 ans, gratuit sur inscription","Sur inscription dans les Maisons d’Issy, à l’Espace Jeunes Anne Frank, à la Halle des Épinettes","Vendredi 16 octobre 2020, 19h00","45-47 rue de l'égalité, 92130 Issy-les-Moulineaux"
11099,Descente poétique franco-roumaine,"A la découverte des poètes roumains de 1960 à nos jours, avec Linda maria Baros et Yekta","Entrée libre, sur réservation en ligne","Vendredi 12 avril 2019, 19h30","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
11100,Le royaume de Kensuke,MERCREDI 27 : 14h30,,"Mercredi 27 mars, 14h30","11-13, rue Danton 92130 Issy-les-Moulineaux"
11101,Marmottines,Les P'tits rendez-vous,"Entrée dans la limite des places disponibles.
Ticket à retirer avant la séance choisie à l'accueil jeunesse.","Mercredi 20 mars, 11h00","33, rue du gouverneur général Eboué, Issy-les-Moulineaux"
11102,Collectes solidaires d'appareils électriques et électroniques,Faites don des appareils électriques hors d’usage ou en état de marche que vous n'utilisez plus : ils seront recyclés ou réemployés dans l'économie circulaire par ecosystem !,,"Samedi 18 mai, 10h00",Issy-les-Moulineaux
11103,"Séance spéciale : projection de ""Bonnard, Pierre et Marthe"" en présence du réalisateur Martin Provost","Cécile De France et Vincent Macaigne vous font entrer dans l'intimité du peintre Bonnard. La projection sera suivie d'un échange avec son réalisateur, Martin Provost.",Tarif unique de 5€ (4€ pour les étudiants),"Lundi 11 mars, 19h00","11-13, rue Danton 92130 Issy-les-Moulineaux"
11104,InterLud' : Lectures jouées,Les P'tites histoires,Entrée libre dans la limite des places disponibles.,"Mercredi 24 avril, 16h30","2 rue du Clos-Munier, 92130 Issy-les-Moulineaux"
11105,Atelier apéro peinture abstraite,Venez peindre autour d'un apéro.,Atelier gratuit sur inscription et adhésions nécessaires pour participer à cet atelier.,"Vendredi 26 avril, 19h00",54 rue d'Erevan 92130 Issy-les-Moulineaux
11106,Téléthon - Le défi sportif des pompiers d’Issy,Venez participer aux 24 heures du rameur pendant lesquelles le rameur ne doit jamais s’arrêter !,,8 et 9 décembre 2023,PLace Corentin Celton Issy les moulineaux
11107,Et si on parlait de sport à l’adolescence ?,"Conférence-débat par Florian Houssier, psychologue clinicien, psychanalyste, professeur de psychologie clinique et de psychopathologie, 
Université Paris 13/Sorbonne Paris Cité","Conférence gratuite, renseignements par téléphone, inscription en ligne, 60 participants maximum.","Mardi 19 mars, 20h30","60 rue du Général Leclerc, 92130"
11108,Atelier : Chant prénatal,Un atelier pour apporter un mieux-être pendant la grossesse animé par Judith Bloch-Christophe sur inscription.,"Atelier gratuit, renseignements par téléphone, inscription par email, 10 participants par séance.","Vendredi 17 mai, 19h00","60 rue du Général Leclerc, 92130"
11109,Session de recrutement - Agents de Sécurité évènementiel - STAND UP,Vous êtes agent de sécurité et souhaitez participer aux grands événements de l'année 2024 ?,,"Lundi 25 mars, 09h00",92130 Issy-les-Moulineaux
11110,Groupe de conversation en anglais,Venez discuter avec d’autres personnes en anglais autour d’un café/thé.,Atelier gratuit sur inscription et adhésion nécessaire pour participer à cet atelier.,"Jeudi 7 mars, 10h30",54 rue d'Erevan 92130 Issy-les-Moulineaux
11111,Atelier Pop-Up géant,"Dans le cadre du festival MARTO, un atelier créatif pop-up géant qui sera au cœur de la nouvelle exposition Nuit Pop !","Entrée libre, sur réservation. Enfant accompagné de 8 à 10 ans.","Samedi 2 mars, 10h00, 14h00","90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
11112,Mon petit baz'art,"Dans le cadre du festival MARTO, un atelier créatif pour réaliser une carte pop-up complètement monstrueuse !!!","Entrée libre, enfant accompagné. Sur réservation.","Samedi 23 mars, 15h00","90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
11113,Conférence dans le cadre du cycle De la Nature,Florian Mermin viendra évoquer la place de l’esthétique des jardins dans son travail.,entrée libre,"Lundi 17 avril 2023, 19h30",52-54 boulevard Gallliéni
11114,Soirée jeux adultes,"Une soirée jeux entièrement dédiée aux jeux de société modernes, un moment convivial à partager entre amis","Entrée gratuite pour les adhérents - 2,20€ par personne pour les non-adhérents",2 et 3 mars,"18 rue de l'abbé Derry, 92130 Issy-les-Moulineaux"
11115,Spectacle : Au lit yéti,"Spectacle clownesque d'ombres et d'objets, en famille, dès 3 ans",Sur inscription,"Samedi 2 mars, 16h00",55 rue Pierre Poli
11116,L'INNOCENCE Vostfr,Séance,,11 - 16 janvier,"8 Prom. Coeur de Ville, 92130 Issy-les-Moulineaux"
11117,Ciné Débat CCJ,Les collégiens et les lycéens mettent en place leur premier ciné débat de l’année,entrée libre,"Vendredi 12 janvier, 19h00",15 rue Diderot 92130 Issy-les-Moulineaux
11118,CINÉ BOUT’CHOU SPÉCIAL COURTS MÉTRAGES,DIMANCHE 24 MARS À 11 H,4.2,"Dimanche 24 mars, 11h00","11-13, rue Danton 92130 Issy-les-Moulineaux"
11119,L'Hiver d'Edmond et Lucy,DIMANCHE 14 : 11h00,,"Dimanche 14 janvier, 11h00","11-13, rue Danton 92130 Issy-les-Moulineaux"
11120,CCFD - Terre Solidaire - L'Illusion de l'abondance,"Quelles conséquences d’une activité minière hors de contrôle, par les
multinationales, sur les populations autochtones au Pérou, au Brésil ?
Des femmes se dressent pour défendre leurs communautés.",Entrée libre,"Lundi 18 mars, 20h30",Eglise saint etienne 92130 ISSY
11121,L'ARMEE DES 12 SINGES,UGC Culte,,"Jeudi 18 janvier, 20h00","8 Prom. Coeur de Ville, 92130 Issy-les-Moulineaux"
11122,L'AMOUR ET LES FORETS,Les incontournables,,"Lundi 15 janvier, 17h40","8 Prom. Coeur de Ville, 92130 Issy-les-Moulineaux"
11123,DELAURENTIS ● YMNK // Le Réacteur,Le Réacteur présente DELAURENTIS et YMNK en concert à l'Espace Icare samedi 10 février !,,"Samedi 10 février, 19h30","31 Boulevard Gambetta, 92130 Issy-les-Moulineaux"
11124,12 YEARS A SLAVE,Culte,,"Samedi 9 mars, 18h00","8 Prom. Coeur de Ville, 92130 Issy-les-Moulineaux"
11125,Rencontre : Femmes d'Issy et d'ailleurs,Une rencontre proposée par l’association Femmes des territoires.,"Entrée sur réservation, gratuit","Jeudi 21 mars, 18h30","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
11126,Rencontre: Massoumeh Lahidji,Cycle Traduire en justesse,"Entrée sur réservation, gratuit.","Mercredi 6 mars, 19h30","60 rue du Général Leclerc, Issy-les-Moulineaux"
11127,Exposition « Les Compagnons de la Libération »,"L'Espace Boulée de l'Hôtel de ville accueillera, du mercredi 22 au vendredi 31 mai prochains, l'exposition « Les Compagnons de la Libération ».",Entrée libre et gratuite,22 - 31 mai,62 rue du Général Leclerc 92130 Issy-les-Moulineaux
11128,LA BEAUTE DU GESTE - DANSE ETERNITE,UGC Doc,,"Vendredi 8 mars, 20h10","8 Prom. Coeur de Ville, 92130 Issy-les-Moulineaux"
11129,Nuit du Handicap 2024 à Issy,"Événement festif gratuit visant à valoriser les personnes en situation de handicap, leurs talents et aller à la rencontre de diverses associations.",Entrée libre et gratuite,"Samedi 15 juin, 16h00",avenue de la république 92130 issy les moulineaux
11130,Jeux ! Me souviens,Retrouvez les jeux des années 90. Pour toute la famille.,Entrée libre dans la limite des places disponibles.,"Samedi 16 mars, 19h00","33, rue du gouverneur général Eboué, Issy-les-Moulineaux"
11131,Groupe de conversation en anglais,Venez discuter avec d'autres personnes en anglais autour d'un café/thé.,Atelier gratuit sur inscription et adhésion nécessaire pour participer à cet atelier.,"Jeudi 25 avril, 10h30",54 rue d'Erevan 92130 Issy-les-Moulineaux
11132,30 ans de la Médiathèque Centre-Ville: ne manquez pas le week-end événement !,"Conférences, quizz, blind test, concert et DJ... Des animations pour toute la famille !",entrée libre,"Samedi 16 mars, 11h00","33, rue du gouverneur général Eboué, Issy-les-Moulineaux"
